neighborhoods,hour,count,date
Allston,00,794,794
Allston,01,1320,1320
Allston,02,1300,1300
Allston,03,799,799
Allston,04,706,706
Allston,05,631,631
Allston,06,806,806
Allston,07,1158,1158
Allston,08,1452,1452
Allston,09,1566,1566
Allston,10,1486,1486
Allston,11,1514,1514
Allston,12,1993,2277
Allston,13,639,639
Allston,14,674,674
Allston,15,621,621
Allston,16,779,779
Allston,17,686,686
Allston,18,742,742
Allston,19,622,622
Allston,20,648,648
Allston,21,581,581
Allston,22,593,593
Allston,23,498,498
Back Bay,00,467,467
Back Bay,01,900,900
Back Bay,02,929,929
Back Bay,03,674,674
Back Bay,04,662,662
Back Bay,05,726,726
Back Bay,06,798,798
Back Bay,07,953,953
Back Bay,08,1269,1269
Back Bay,09,1253,1253
Back Bay,10,1314,1314
Back Bay,11,1309,1309
Back Bay,12,1638,1974
Back Bay,13,646,646
Back Bay,14,661,661
Back Bay,15,605,605
Back Bay,16,629,629
Back Bay,17,761,761
Back Bay,18,672,672
Back Bay,19,602,602
Back Bay,20,450,450
Back Bay,21,405,405
Back Bay,22,311,311
Back Bay,23,277,277
Bay Village,00,136,136
Bay Village,01,194,194
Bay Village,02,230,230
Bay Village,03,96,96
Bay Village,04,101,101
Bay Village,05,82,82
Bay Village,06,121,121
Bay Village,07,150,150
Bay Village,08,197,197
Bay Village,09,210,210
Bay Village,10,201,201
Bay Village,11,188,188
Bay Village,12,229,276
Bay Village,13,93,93
Bay Village,14,66,66
Bay Village,15,83,83
Bay Village,16,73,73
Bay Village,17,96,96
Bay Village,18,75,75
Bay Village,19,65,65
Bay Village,20,74,74
Bay Village,21,72,72
Bay Village,22,79,79
Bay Village,23,83,83
Beacon Hill,00,288,288
Beacon Hill,01,706,706
Beacon Hill,02,625,625
Beacon Hill,03,454,454
Beacon Hill,04,431,431
Beacon Hill,05,459,459
Beacon Hill,06,520,520
Beacon Hill,07,644,644
Beacon Hill,08,872,872
Beacon Hill,09,909,909
Beacon Hill,10,973,973
Beacon Hill,11,976,976
Beacon Hill,12,1211,1375
Beacon Hill,13,577,577
Beacon Hill,14,511,511
Beacon Hill,15,419,419
Beacon Hill,16,548,548
Beacon Hill,17,723,723
Beacon Hill,18,663,663
Beacon Hill,19,464,464
Beacon Hill,20,393,393
Beacon Hill,21,277,277
Beacon Hill,22,239,239
Beacon Hill,23,190,190
Brighton,00,648,648
Brighton,01,956,956
Brighton,02,930,930
Brighton,03,732,732
Brighton,04,624,624
Brighton,05,639,639
Brighton,06,804,804
Brighton,07,1324,1324
Brighton,08,1583,1583
Brighton,09,1402,1402
Brighton,10,1385,1385
Brighton,11,1295,1295
Brighton,12,1802,2086
Brighton,13,606,606
Brighton,14,621,621
Brighton,15,632,632
Brighton,16,727,727
Brighton,17,763,763
Brighton,18,741,741
Brighton,19,678,678
Brighton,20,617,617
Brighton,21,525,525
Brighton,22,524,524
Brighton,23,473,473
Charlestown,00,302,302
Charlestown,01,470,470
Charlestown,02,428,428
Charlestown,03,384,384
Charlestown,04,407,407
Charlestown,05,450,450
Charlestown,06,546,546
Charlestown,07,686,686
Charlestown,08,953,953
Charlestown,09,921,921
Charlestown,10,902,902
Charlestown,11,849,849
Charlestown,12,1075,1262
Charlestown,13,423,423
Charlestown,14,403,403
Charlestown,15,372,372
Charlestown,16,433,433
Charlestown,17,459,459
Charlestown,18,458,458
Charlestown,19,416,416
Charlestown,20,400,400
Charlestown,21,365,365
Charlestown,22,302,302
Charlestown,23,239,239
Chinatown,00,309,309
Chinatown,01,552,552
Chinatown,02,647,647
Chinatown,03,405,405
Chinatown,04,274,274
Chinatown,05,304,304
Chinatown,06,303,303
Chinatown,07,297,297
Chinatown,08,447,447
Chinatown,09,467,467
Chinatown,10,481,481
Chinatown,11,459,459
Chinatown,12,609,723
Chinatown,13,260,260
Chinatown,14,203,203
Chinatown,15,256,256
Chinatown,16,314,314
Chinatown,17,447,447
Chinatown,18,375,375
Chinatown,19,311,311
Chinatown,20,242,242
Chinatown,21,245,245
Chinatown,22,207,207
Chinatown,23,181,181
Dorchester,00,3701,3701
Dorchester,01,5371,5371
Dorchester,02,4901,4901
Dorchester,03,4119,4119
Dorchester,04,4184,4184
Dorchester,05,4046,4046
Dorchester,06,4692,4692
Dorchester,07,5641,5641
Dorchester,08,6681,6681
Dorchester,09,7043,7043
Dorchester,10,7449,7449
Dorchester,11,7211,7211
Dorchester,12,8240,10129
Dorchester,13,3684,3684
Dorchester,14,3893,3893
Dorchester,15,3747,3747
Dorchester,16,4486,4486
Dorchester,17,4756,4756
Dorchester,18,4751,4751
Dorchester,19,4350,4350
Dorchester,20,4086,4086
Dorchester,21,3604,3604
Dorchester,22,3154,3154
Dorchester,23,2504,2504
Downtown,00,1226,1226
Downtown,01,2645,2645
Downtown,02,2372,2372
Downtown,03,1140,1140
Downtown,04,912,912
Downtown,05,912,912
Downtown,06,910,910
Downtown,07,1041,1041
Downtown,08,1370,1370
Downtown,09,1658,1658
Downtown,10,1902,1902
Downtown,11,2095,2095
Downtown,12,2503,2881
Downtown,13,1028,1028
Downtown,14,1020,1020
Downtown,15,1016,1016
Downtown,16,1220,1220
Downtown,17,1333,1333
Downtown,18,1204,1204
Downtown,19,954,954
Downtown,20,866,866
Downtown,21,790,790
Downtown,22,757,757
Downtown,23,739,739
East Boston,00,741,741
East Boston,01,1440,1440
East Boston,02,1403,1403
East Boston,03,1081,1081
East Boston,04,1149,1149
East Boston,05,1083,1083
East Boston,06,1204,1204
East Boston,07,1385,1385
East Boston,08,1725,1725
East Boston,09,1869,1869
East Boston,10,1746,1746
East Boston,11,1711,1711
East Boston,12,2142,2584
East Boston,13,877,877
East Boston,14,882,882
East Boston,15,856,856
East Boston,16,1049,1049
East Boston,17,1107,1107
East Boston,18,1037,1037
East Boston,19,1018,1018
East Boston,20,857,857
East Boston,21,743,743
East Boston,22,683,683
East Boston,23,584,584
Fenway,00,797,797
Fenway,01,1256,1256
Fenway,02,1270,1270
Fenway,03,764,764
Fenway,04,859,859
Fenway,05,889,889
Fenway,06,993,993
Fenway,07,1730,1730
Fenway,08,1578,1578
Fenway,09,1564,1564
Fenway,10,1872,1872
Fenway,11,1835,1835
Fenway,12,2176,2599
Fenway,13,961,961
Fenway,14,990,990
Fenway,15,1011,1011
Fenway,16,1131,1131
Fenway,17,1143,1143
Fenway,18,1174,1174
Fenway,19,975,975
Fenway,20,884,884
Fenway,21,765,765
Fenway,22,677,677
Fenway,23,582,582
Harbor Islands,00,1261,1261
Harbor Islands,01,1994,2230
Harbor Islands,02,1931,2178
Harbor Islands,03,1301,1475
Harbor Islands,04,1209,1391
Harbor Islands,05,1232,1470
Harbor Islands,06,1490,1698
Harbor Islands,07,1720,1960
Harbor Islands,08,2051,2286
Harbor Islands,09,2161,2373
Harbor Islands,10,2246,2489
Harbor Islands,11,2233,2470
Harbor Islands,12,3208,3490
Harbor Islands,13,1403,1403
Harbor Islands,14,1471,1471
Harbor Islands,15,1459,1459
Harbor Islands,16,1811,1811
Harbor Islands,17,2158,2158
Harbor Islands,18,2064,2064
Harbor Islands,19,1547,1547
Harbor Islands,20,1317,1317
Harbor Islands,21,1235,1235
Harbor Islands,22,1148,1148
Harbor Islands,23,856,856
Hyde Park,00,759,759
Hyde Park,01,1090,1090
Hyde Park,02,962,962
Hyde Park,03,838,838
Hyde Park,04,977,977
Hyde Park,05,911,911
Hyde Park,06,1123,1123
Hyde Park,07,1456,1456
Hyde Park,08,1751,1751
Hyde Park,09,1809,1809
Hyde Park,10,1699,1699
Hyde Park,11,1679,1679
Hyde Park,12,2302,2701
Hyde Park,13,984,984
Hyde Park,14,1063,1063
Hyde Park,15,984,984
Hyde Park,16,1248,1248
Hyde Park,17,1224,1224
Hyde Park,18,1060,1060
Hyde Park,19,998,998
Hyde Park,20,831,831
Hyde Park,21,728,728
Hyde Park,22,622,622
Hyde Park,23,468,468
Jamaica Plain,00,748,748
Jamaica Plain,01,1228,1228
Jamaica Plain,02,1156,1156
Jamaica Plain,03,994,994
Jamaica Plain,04,856,856
Jamaica Plain,05,951,951
Jamaica Plain,06,1088,1088
Jamaica Plain,07,1358,1358
Jamaica Plain,08,1832,1832
Jamaica Plain,09,1904,1904
Jamaica Plain,10,1904,1904
Jamaica Plain,11,1784,1784
Jamaica Plain,12,2143,2513
Jamaica Plain,13,997,997
Jamaica Plain,14,986,986
Jamaica Plain,15,940,940
Jamaica Plain,16,1117,1117
