,neighborhood,category,year,time,value
0,Allston,07RV,2012,08,1
1,Allston,07RV,2013,03,1
2,Allston,07RV,2013,04,2
3,Allston,07RV,2013,08,2
4,Allston,07RV,2013,10,1
5,Allston,07RV,2013,11,1
6,Allston,07RV,2014,01,1
7,Allston,07RV,2014,04,1
8,Allston,07RV,2014,07,1
9,Allston,07RV,2014,10,1
10,Allston,07RV,2015,02,1
11,Allston,07RV,2015,12,1
12,Allston,Aggravated Assault,2012,01,7
13,Allston,Aggravated Assault,2012,02,11
14,Allston,Aggravated Assault,2012,03,2
15,Allston,Aggravated Assault,2012,04,1
16,Allston,Aggravated Assault,2012,06,2
17,Allston,Aggravated Assault,2012,07,3
18,Allston,Aggravated Assault,2012,08,1
19,Allston,Aggravated Assault,2012,10,3
20,Allston,Aggravated Assault,2012,11,4
21,Allston,Aggravated Assault,2012,12,5
22,Allston,Aggravated Assault,2013,01,11
23,Allston,Aggravated Assault,2013,02,14
24,Allston,Aggravated Assault,2013,03,1
25,Allston,Aggravated Assault,2013,04,3
26,Allston,Aggravated Assault,2013,05,5
27,Allston,Aggravated Assault,2013,06,4
28,Allston,Aggravated Assault,2013,07,1
29,Allston,Aggravated Assault,2013,08,1
30,Allston,Aggravated Assault,2013,10,6
31,Allston,Aggravated Assault,2013,11,4
32,Allston,Aggravated Assault,2013,12,7
33,Allston,Aggravated Assault,2014,01,12
34,Allston,Aggravated Assault,2014,02,11
35,Allston,Aggravated Assault,2014,03,3
36,Allston,Aggravated Assault,2014,04,3
37,Allston,Aggravated Assault,2014,05,1
38,Allston,Aggravated Assault,2014,07,3
39,Allston,Aggravated Assault,2014,08,4
40,Allston,Aggravated Assault,2014,09,8
41,Allston,Aggravated Assault,2014,10,7
42,Allston,Aggravated Assault,2014,11,3
43,Allston,Aggravated Assault,2014,12,5
44,Allston,Aggravated Assault,2015,00,5
45,Allston,Aggravated Assault,2015,01,7
46,Allston,Aggravated Assault,2015,02,13
47,Allston,Aggravated Assault,2015,03,2
48,Allston,Aggravated Assault,2015,05,1
49,Allston,Aggravated Assault,2015,06,1
50,Allston,Aggravated Assault,2015,07,3
51,Allston,Aggravated Assault,2015,08,2
52,Allston,Aggravated Assault,2015,09,4
53,Allston,Aggravated Assault,2015,10,1
54,Allston,Aggravated Assault,2015,11,3
55,Allston,Aggravated Assault,2015,12,4
56,Allston,Aggravated Assault,2015,13,3
57,Allston,Aggravated Assault,2015,14,1
58,Allston,Aggravated Assault,2015,15,1
59,Allston,Aggravated Assault,2015,16,2
60,Allston,Aggravated Assault,2015,20,2
61,Allston,Aggravated Assault,2015,22,2
62,Allston,Aggravated Assault,2016,00,3
63,Allston,Aggravated Assault,2016,01,5
64,Allston,Aggravated Assault,2016,02,8
65,Allston,Aggravated Assault,2016,03,2
66,Allston,Aggravated Assault,2016,04,2
67,Allston,Aggravated Assault,2016,05,1
68,Allston,Aggravated Assault,2016,06,1
69,Allston,Aggravated Assault,2016,07,1
70,Allston,Aggravated Assault,2016,08,3
71,Allston,Aggravated Assault,2016,09,2
72,Allston,Aggravated Assault,2016,10,2
