,Unnamed: 0,id,offense_type,year,month,day_of_Week,ucr_oart,lat,long,location,street,date,neighborhoods
0,0,120420285,RESIDENTIAL BURGLARY,2012,7,Sunday,Part One,763273.1791,2951498.962,"(42.34638135, -71.10379454)",ABERDEEN ST,7/8/2012 6:00,Fenway
1,1,120419202,AGGRAVATED ASSAULT,2012,7,Sunday,Part One,771223.1638,2940772.099,"(42.31684135, -71.07458456)",HOWARD AV,7/8/2012 6:03,Roxbury
2,2,120419213,ROBBERY,2012,7,Sunday,Part One,765118.8605,2950217.536,"(42.34284135, -71.09698955)",JERSEY ST,7/8/2012 6:26,Fenway
3,3,120419223,COMMERCIAL BURGLARY,2012,7,Sunday,Part One,773591.8648,2940638.174,"(42.3164411, -71.06582908)",COLUMBIA RD,7/8/2012 6:56,Dorchester
4,4,120419236,ROBBERY,2012,7,Sunday,Part One,759042.7315,2923832.681,"(42.27051636, -71.11989955)",COLLINS ST,7/8/2012 7:15,Hyde Park
5,5,120419239,ROBBERY,2012,7,Sunday,Part One,777066.0032,2939504.801,"(42.31328183, -71.0530059)",SYDNEY ST,7/8/2012 7:32,Dorchester
6,6,120419257,ROBBERY,2012,7,Sunday,Part One,768066.0298,2943456.962,"(42.32425136, -71.08620956)",REGENT ST,7/8/2012 7:50,Roxbury
7,7,120419424,SIMPLE ASSAULT,2012,7,Sunday,Part Two,774083.6785,2952595.797,"(42.34924634, -71.06378456)",WASHINGTON ST,7/8/2012 7:50,Chinatown
8,8,120419255,MedAssist,2012,7,Sunday,Part Three,746474.0254,2953382.196,"(42.35174635, -71.16590953)",FANEUIL ST,7/8/2012 7:53,Brighton
9,9,120419274,MedAssist,2012,7,Sunday,Part Three,759766.2593,2919778.597,"(42.25938275, -71.11729354)",RIVER ST,7/8/2012 8:05,Hyde Park
10,10,120419278,BENoProp,2012,7,Sunday,Part One,765096.3106,2949840.249,"(42.34180635, -71.09707955)",PARK DR,7/8/2012 8:10,Fenway
