,neighborhood,time,value,category
0,Allston,1950.0,4592.0,less than High School
1,Allston,1950.0,3848.0,High School or GED
2,Allston,1950.0,841.0,Some College or Associate's Degree
3,Allston,1950.0,1289.0,Bachelor's Degree or Higher
4,Allston,1960.0,4357.0,less than High School
5,Allston,1960.0,2667.0,High School or GED
6,Allston,1960.0,798.0,Some College or Associate's Degree
7,Allston,1960.0,1175.0,Bachelor's Degree or Higher
8,Allston,1970.0,2511.0,less than High School
9,Allston,1970.0,2117.0,High School or GED
10,Allston,1970.0,797.0,Some College or Associate's Degree
11,Allston,1970.0,1247.0,Bachelor's Degree or Higher
12,Allston,1980.0,1540.0,less than High School
13,Allston,1980.0,1942.0,High School or GED
14,Allston,1980.0,1325.0,Some College or Associate's Degree
15,Allston,1980.0,2680.0,Bachelor's Degree or Higher
16,Allston,1990.0,1688.0,less than High School
17,Allston,1990.0,1407.0,High School or GED
18,Allston,1990.0,1260.0,Some College or Associate's Degree
19,Allston,1990.0,5044.0,Bachelor's Degree or Higher
20,Allston,2000.0,1603.0,less than High School
21,Allston,2000.0,1503.0,High School or GED
22,Allston,2000.0,1128.0,Some College or Associate's Degree
23,Allston,2000.0,4716.0,Bachelor's Degree or Higher
24,Back Bay,1950.0,4735.0,less than High School
25,Back Bay,1950.0,4445.0,High School or GED
26,Back Bay,1950.0,2355.0,Some College or Associate's Degree
27,Back Bay,1950.0,2870.0,Bachelor's Degree or Higher
28,Back Bay,1960.0,3823.0,less than High School
29,Back Bay,1960.0,3049.0,High School or GED
30,Back Bay,1960.0,2236.0,Some College or Associate's Degree
31,Back Bay,1960.0,3450.0,Bachelor's Degree or Higher
32,Back Bay,1970.0,1649.0,less than High School
33,Back Bay,1970.0,2630.0,High School or GED
34,Back Bay,1970.0,1914.0,Some College or Associate's Degree
35,Back Bay,1970.0,3606.0,Bachelor's Degree or Higher
36,Back Bay,1980.0,831.0,less than High School
37,Back Bay,1980.0,1675.0,High School or GED
38,Back Bay,1980.0,2111.0,Some College or Associate's Degree
39,Back Bay,1980.0,7420.0,Bachelor's Degree or Higher
40,Back Bay,1990.0,407.0,less than High School
