Date,Value,neighborhood,category
2010-01-31,807.21393034826,Back Bay,buy
2010-01-31,192.6514153167,South Dorchester,buy
2010-01-31,461.44230769231,Charlestown,buy
2010-01-31,400.88211708099,South Boston,buy
2010-01-31,464.42787482375,Charlestown,buy
2010-01-31,802.61437908497,Back Bay,buy
2010-01-31,400.88211708099,South Boston,buy
2010-01-31,266.54578422484,West Roxbury,buy
2010-01-31,251.06026785714,Roslindale,buy
2010-01-31,251.64620535714,Roslindale,buy
2010-01-31,305.04219374443,Jamaica Plain,buy
2010-01-31,617.51497005988,North End,buy
2010-01-31,235.01259445844,East Boston,buy
2010-01-31,618.52424887834,North End,buy
2010-01-31,235.25992041763,East Boston,buy
2010-01-31,197.50940897229,Hyde Park,buy
2010-01-31,353.57464590415,Brighton,buy
2010-01-31,203.78198905051,South Dorchester,buy
2010-01-31,202.08937146338,Hyde Park,buy
2010-01-31,296.34519110426,Jamaica Plain,buy
2010-01-31,266.15535479899,West Roxbury,buy
2010-01-31,622.2850123838,South End,buy
2010-01-31,617.66460778258,South End,buy
2010-01-31,351.06531123799,Brighton,buy
2010-02-28,622.62729167105,North End,buy
2010-02-28,228.22083835543,East Boston,buy
2010-02-28,228.0701754386,East Boston,buy
2010-02-28,269.18918918919,West Roxbury,buy
2010-02-28,622.07792207792,North End,buy
2010-02-28,360.853432282,Brighton,buy
2010-02-28,817.45012838238,Back Bay,buy
2010-02-28,318.55030586942,Jamaica Plain,buy
2010-02-28,254.51030927835,Roslindale,buy
2010-02-28,194.54191033138,Hyde Park,buy
2010-02-28,318.28528072838,Jamaica Plain,buy
2010-02-28,612.85714285714,South End,buy
2010-02-28,254.92381390476,Roslindale,buy
2010-02-28,269.84126984127,West Roxbury,buy
2010-02-28,470.98515519568,Charlestown,buy
2010-02-28,401.0582010582,South Boston,buy
2010-02-28,360.853432282,Brighton,buy
2010-02-28,805.40618412872,Back Bay,buy
2010-02-28,211.68845682703,South Dorchester,buy
2010-02-28,196.60137750578,South Dorchester,buy
2010-02-28,194.23878265174,Hyde Park,buy
2010-02-28,402.04445009086,South Boston,buy
2010-02-28,467.41344195519,Charlestown,buy
2010-02-28,616.56772990026,South End,buy
2010-03-31,281.14143920596,West Roxbury,buy
2010-03-31,206.23361456695,South Dorchester,buy
2010-03-31,231.54138494852,East Boston,buy
2010-03-31,362.96992481203,Brighton,buy
2010-03-31,198.93419884141,Hyde Park,buy
2010-03-31,597.96558227251,South End,buy
