Date,value,neighborhood,category
2010-01-31,790.86468549724,Back Bay,Condo/Co-op
2010-01-31,785.58052434457,Back Bay,Condo/Co-op
2010-01-31,620.42788129745,South End,Condo/Co-op
2010-01-31,852.84133630471,Back Bay,Two Bedrooms
2010-01-31,112.25,South Dorchester,Five Or More Bedrooms
2010-01-31,104.52471645483,South Dorchester,Duplex/Triplex
2010-01-31,404.4885177453,South Boston,Two Bedrooms
2010-01-31,616.56772990026,South End,Condo/Co-op
2010-01-31,490.44585987261,Charlestown,Condo/Co-op
2010-01-31,490.44585987261,Charlestown,Condo/Co-op
2010-01-31,401.14057192249,South Boston,Two Bedrooms
2010-01-31,411.29032258065,South Boston,Condo/Co-op
2010-01-31,615.71014775183,North End,Condo/Co-op
2010-01-31,617.51497005988,North End,Condo/Co-op
2010-01-31,319.81132075472,Jamaica Plain,Condo/Co-op
2010-01-31,415.74074074074,South Boston,Condo/Co-op
2010-01-31,852.84133630471,Back Bay,Two Bedrooms
2010-01-31,326.71755725191,Jamaica Plain,Condo/Co-op
2010-02-28,797.86607142857,Back Bay,Two Bedrooms
2010-02-28,309.30732456255,Jamaica Plain,Condo/Co-op
2010-02-28,805.40618412872,Back Bay,Condo/Co-op
2010-02-28,621.4953271028,North End,Condo/Co-op
2010-02-28,612.97416162727,South End,Condo/Co-op
2010-02-28,97.252613663992,South Dorchester,Duplex/Triplex
2010-02-28,407.45052386496,South Boston,Condo/Co-op
2010-02-28,103.61351737768,South Dorchester,Five Or More Bedrooms
2010-02-28,399.42857142857,South Boston,Two Bedrooms
2010-02-28,489.76945244957,Charlestown,Condo/Co-op
2010-02-28,411.20874510535,South Boston,Condo/Co-op
2010-02-28,613.85099685205,South End,Condo/Co-op
2010-02-28,395.58837252706,South Boston,Two Bedrooms
2010-02-28,798.85714285714,Back Bay,Condo/Co-op
2010-02-28,798.85714285714,Back Bay,Two Bedrooms
2010-02-28,324.74226804124,Jamaica Plain,Condo/Co-op
2010-02-28,489.76945244957,Charlestown,Condo/Co-op
2010-02-28,621.78662459036,North End,Condo/Co-op
2010-03-31,619.13484352051,North End,Condo/Co-op
2010-03-31,399.18333333333,South Boston,Two Bedrooms
2010-03-31,783.00653594771,Back Bay,Condo/Co-op
2010-03-31,610.60036243886,South End,Condo/Co-op
2010-03-31,598.57142857143,South End,Condo/Co-op
2010-03-31,410.39840317153,South Boston,Condo/Co-op
2010-03-31,782.75078688192,Back Bay,Two Bedrooms
2010-03-31,410.77099776031,South Boston,Condo/Co-op
2010-03-31,397.60638297872,South Boston,Two Bedrooms
2010-03-31,792.10836277974,Back Bay,Two Bedrooms
2010-03-31,490.44585987261,Charlestown,Condo/Co-op
2010-03-31,490.10765616109,Charlestown,Condo/Co-op
2010-03-31,104.82602520163,South Dorchester,Duplex/Triplex
2010-03-31,615.71014775183,North End,Condo/Co-op
2010-03-31,314.36230225404,Jamaica Plain,Condo/Co-op
2010-03-31,308.28729281768,Jamaica Plain,Condo/Co-op
2010-03-31,776.0067114094,Back Bay,Condo/Co-op
2010-03-31,104.82602520163,South Dorchester,Five Or More Bedrooms
2010-04-30,793.43971631206,Back Bay,Two Bedrooms
2010-04-30,487.0350186699,Charlestown,Condo/Co-op
2010-04-30,783.08490062692,Back Bay,Condo/Co-op
2010-04-30,587.48020654045,North End,Condo/Co-op
2010-04-30,598.57142857143,South End,Condo/Co-op
2010-04-30,409.98550977419,South Boston,Condo/Co-op
2010-04-30,109.27864586631,South Dorchester,Five Or More Bedrooms
2010-04-30,409.58904109589,South Boston,Condo/Co-op
2010-04-30,397.56064675775,South Boston,Two Bedrooms
2010-04-30,795.12195121951,Back Bay,Two Bedrooms
2010-04-30,488.14814814815,Charlestown,Condo/Co-op
2010-04-30,304.98085191788,Jamaica Plain,Condo/Co-op
2010-04-30,302.22482905635,Jamaica Plain,Condo/Co-op
2010-04-30,398.67637345355,South Boston,Two Bedrooms
2010-04-30,614.53201970443,South End,Condo/Co-op
2010-04-30,591.0500427716,North End,Condo/Co-op
2010-04-30,107.27529101792,South Dorchester,Duplex/Triplex
2010-04-30,778.84357609037,Back Bay,Condo/Co-op
2010-05-31,107.21062618596,South Dorchester,Duplex/Triplex
2010-05-31,400.0,South Boston,Two Bedrooms
2010-05-31,779.51473136915,Back Bay,Condo/Co-op
2010-05-31,418.17905342095,South Boston,Condo/Co-op
2010-05-31,116.46843699045,South Dorchester,Five Or More Bedrooms
2010-05-31,613.75309066585,South End,Condo/Co-op
2010-05-31,633.60437580959,South End,Condo/Co-op
2010-05-31,591.0500427716,North End,Condo/Co-op
2010-05-31,399.45225790053,South Boston,Two Bedrooms
2010-05-31,417.94425087108,South Boston,Condo/Co-op
2010-05-31,768.85406464251,Back Bay,Two Bedrooms
2010-05-31,588.88154027043,North End,Condo/Co-op
2010-05-31,310.12244897959,Jamaica Plain,Condo/Co-op
2010-05-31,766.18705035971,Back Bay,Condo/Co-op
2010-05-31,764.0306122449,Back Bay,Two Bedrooms
2010-05-31,489.23363800011,Charlestown,Condo/Co-op
2010-05-31,308.96868423116,Jamaica Plain,Condo/Co-op
2010-05-31,486.76560931885,Charlestown,Condo/Co-op
2010-06-30,765.49663928305,Back Bay,Two Bedrooms
2010-06-30,643.14516129032,South End,Condo/Co-op
2010-06-30,307.85016049986,Jamaica Plain,Condo/Co-op
2010-06-30,749.64497840173,Back Bay,Condo/Co-op
2010-06-30,116.46843699045,South Dorchester,Five Or More Bedrooms
2010-06-30,420.99567099567,South Boston,Condo/Co-op
