Date,Value,neighborhood
2010-01-31,450000.0,Charlestown
2010-01-31,465000.0,Charlestown
2010-01-31,265000.0,South Dorchester
2010-01-31,304450.0,Roslindale
2010-01-31,304450.0,Roslindale
2010-01-31,399250.0,West Roxbury
2010-01-31,399000.0,West Roxbury
2010-01-31,269000.0,South Dorchester
2010-01-31,294000.0,Hyde Park
2010-02-28,312000.0,Roslindale
2010-02-28,455000.0,Charlestown
2010-02-28,312000.0,Roslindale
2010-02-28,294500.0,Hyde Park
2010-02-28,269000.0,South Dorchester
2010-02-28,371950.0,West Roxbury
2010-02-28,379500.0,West Roxbury
2010-02-28,265000.0,South Dorchester
2010-02-28,450000.0,Charlestown
2010-03-31,289900.0,Hyde Park
2010-03-31,329900.0,Roslindale
2010-03-31,269000.0,South Dorchester
2010-03-31,399900.0,West Roxbury
2010-03-31,274000.0,South Dorchester
2010-03-31,462000.0,Charlestown
2010-03-31,329900.0,Roslindale
2010-03-31,399900.0,West Roxbury
2010-03-31,459000.0,Charlestown
2010-04-30,269000.0,South Dorchester
2010-04-30,329000.0,Roslindale
2010-04-30,450000.0,Charlestown
2010-04-30,399900.0,West Roxbury
2010-04-30,399900.0,West Roxbury
2010-04-30,284900.0,Hyde Park
2010-04-30,329000.0,Roslindale
2010-04-30,454500.0,Charlestown
2010-04-30,264000.0,South Dorchester
2010-05-31,399900.0,West Roxbury
2010-05-31,455000.0,Charlestown
2010-05-31,329000.0,Roslindale
2010-05-31,329000.0,Roslindale
2010-05-31,249000.0,South Dorchester
2010-05-31,279000.0,Hyde Park
2010-05-31,259000.0,South Dorchester
2010-05-31,399900.0,West Roxbury
2010-05-31,449950.0,Charlestown
2010-06-30,399000.0,West Roxbury
2010-06-30,309000.0,Roslindale
2010-06-30,259000.0,South Dorchester
2010-06-30,450000.0,Charlestown
2010-06-30,399000.0,West Roxbury
2010-06-30,309000.0,Roslindale
2010-06-30,249000.0,South Dorchester
2010-06-30,264000.0,Hyde Park
2010-06-30,459000.0,Charlestown
2010-07-31,252000.0,South Dorchester
2010-07-31,399900.0,West Roxbury
2010-07-31,455000.0,Charlestown
2010-07-31,300900.0,Roslindale
2010-07-31,459000.0,Charlestown
2010-07-31,300900.0,Roslindale
2010-07-31,262000.0,South Dorchester
2010-07-31,259900.0,Hyde Park
2010-07-31,399000.0,West Roxbury
2010-08-31,259450.0,Hyde Park
2010-08-31,399900.0,West Roxbury
2010-08-31,469000.0,Charlestown
2010-08-31,249000.0,South Dorchester
2010-08-31,241000.0,South Dorchester
2010-08-31,399900.0,West Roxbury
2010-08-31,289900.0,Roslindale
2010-08-31,289900.0,Roslindale
2010-08-31,459000.0,Charlestown
2010-09-30,249000.0,South Dorchester
2010-09-30,449000.0,Charlestown
2010-09-30,269400.0,Hyde Park
2010-09-30,409900.0,West Roxbury
2010-09-30,249900.0,South Dorchester
2010-09-30,299900.0,Roslindale
2010-09-30,454000.0,Charlestown
2010-09-30,299900.0,Roslindale
2010-09-30,409900.0,West Roxbury
2010-10-31,249000.0,South Dorchester
2010-10-31,299900.0,Roslindale
2010-10-31,299900.0,Roslindale
2010-10-31,440500.0,Charlestown
